URL,Nama,Kategori,Usaha Utama,Produk Utama,Provinsi,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset (Juta),Penjualan Rata-Rata (Juta/Tahun),Proyeksi Pertumbuhan Penjualan (%/Tahun),Kebutuhan Pembiayaan Kredit (Juta),Nilai Aset Jaminan Kredit (Juta),Jumlah Dokumen Persyaratan Kredit
https://www.bi.go.id/bisaid/bisaid/Detail?pm=/5LcXrrUQIq/pcfRM+RyHg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Usaha Daur Ulang kertas Semen,Industri Pengolahan,Pembuatan Kertas Semen,Kertas Semen,Sumatera utara,"Musyawarah E Kampung tempel Dusun VI RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN DELI SERDANG Provinsi SUMATERA UTARA 

                                        Telp : - Fax : -",Perorangan,5.0,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,63.75,84.00,15,10.00,33.00,4
https://www.bi.go.id/bisaid/bisaid/Detail?pm=3javXIhteP4ehlIhSrqM0A==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Usaha Nyiru Dg Kanang,Industri Pengolahan,Pembuatan Nyiru,Nyiru,Sulawesi selatan,"Tanrara RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN GOWA Provinsi SULAWESI SELATAN 

                                        Telp : - Fax : -",Perorangan,9.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,23.23,160.00,10,10.00,20.00,4
https://www.bi.go.id/bisaid/bisaid/Detail?pm=jXrTumE75bO6iWlhl65qUA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Ira Furniture,Industri Pengolahan,Pembuatan furniture,Furniture rumah tangga,Dki jakarta,"Phlawan Revolusi RT/RW  40823 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAKARTA TIMUR Provinsi DKI JAKARTA 

                                        Telp : - Fax : -",Usaha Dagang (UD),7.0,Retail dan Distributor,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   30,00 %",Tinggi,1073.00,150.00,25,10.00,1077.00,9
https://www.bi.go.id/bisaid/bisaid/Detail?pm=b9tr00FPCy8NisLNewFkmQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Usaha Tahu Suparni,Industri Pengolahan,Pembuatan Tahu,Tahu,Jawa tengah,"Bandar 40 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN SIDOARJO Provinsi JAWA TENGAH 

                                        Telp : - Fax : -",Perorangan,9.0,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Tinggi,122.97,88.00,10,10.00,75.00,5
https://www.bi.go.id/bisaid/bisaid/Detail?pm=hIlcc2GKM3V23LMtSLF+Bw==&mp=fOhzApotY5QnAtxxXvjAfA==,MARJAN BUEN,Industri Pengolahan,JUAL KUBUR JADI,KUBUR JADI,Nusa tenggara barat,"JL RAYA JURUMAPIN RT/RW  2/5/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN SUMBAWA Provinsi NUSA TENGGARA BARAT 

                                        Telp : 0 Fax : -",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   20,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   80,00 %",Rendah,23.00,42.00,5,9.50,15.00,3
https://www.bi.go.id/bisaid/bisaid/Detail?pm=es2lOnymwI0ckSjdU1JjfA==&mp=fOhzApotY5QnAtxxXvjAfA==,Bata Merah Pak Wage Sumarso,Industri Pengolahan,Industri Bata Merah,Bata Merah,Jawa tengah,"Raya Penggalang RT/RW  2/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN CILACAP Provinsi JAWA TENGAH 

                                        Telp : - Fax : -",Perorangan,5.0,Retail,"Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,198.00,54.00,20,10.00,190.00,3
https://www.bi.go.id/bisaid/bisaid/Detail?pm=XTs8ug5EBk3lgZS6PqxXcw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Mugiwati Bata,Industri Pengolahan,Bata,Bata,Jawa timur,"Panjirejo RT/RW  3/2/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PRINGSEWU Provinsi JAWA TIMUR 

                                        Telp : 85279771713 Fax : -",Perorangan,4.0,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,111.00,49.20,10,10.00,100.00,3
https://www.bi.go.id/bisaid/bisaid/Detail?pm=0120d8UPLQQsVKeWWL64+w==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Muhtar,Industri Pengolahan,Pembuatan Kerupuk,Kerupuk,Sumatera selatan,"Purwodadi RT/RW  40547 

                                        Kelurahan - Kecamatan - Kabupaten KOTA PRABUMULIH Provinsi SUMATERA SELATAN 

                                        Telp : - Fax : -",Perorangan,6.0,Retail dan Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,34.30,120.00,10,10.00,9.00,4
https://www.bi.go.id/bisaid/bisaid/Detail?pm=0yUCspoqln07/vpf2GO4sg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Angga Souvenir,Industri Pengolahan,Pembuatan Fiber Glass,Fiber Glass,Di yogyakarta,"Mas Suharto Kios Jambu No 10A RT/RW  39/13 

                                        Kelurahan - Kecamatan - Kabupaten KOTA YOGYAKARTA Provinsi DI YOGYAKARTA 

                                        Telp : - Fax : -",Perorangan,2.0,Distributor,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %",Rendah,474.00,75.00,25,10.00,250.00,6
https://www.bi.go.id/bisaid/bisaid/Detail?pm=KNoKNfX7o/5kr2KnX61Rag==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Tempe Kuswanto,Industri Pengolahan,Pengolahan Tempe,Tempe,Dki jakarta,"Cipinang Pulo Maja RT/RW  2/11/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAKARTA TIMUR Provinsi DKI JAKARTA 

                                        Telp : - Fax : -",Perorangan,2.0,Retail,"Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %",Sedang,33.50,133.92,20,10.00,20.00,4
