web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622316592-4811","https://www.bi.go.id/bisaid","Usaha Daur Ulang kertas Semen","https://www.bi.go.id/bisaid/bisaid/Detail?pm=/5LcXrrUQIq/pcfRM+RyHg==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Usaha Daur Ulang kertas Semen","Usaha Utama  : Pembuatan Kertas Semen","Produk Utama : Kertas Semen","Musyawarah E Kampung tempel Dusun VI RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN DELI SERDANG Provinsi SUMATERA UTARA 

                                        Telp : - Fax : -","Perorangan","5","Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 63,75 Juta","Rp. 84,00 Juta","15 %/Tahun","Rp. 10,00 Juta","Rp. 33,00 Juta","4"
"1622317191-4997","https://www.bi.go.id/bisaid","Usaha Nyiru Dg Kanang","https://www.bi.go.id/bisaid/bisaid/Detail?pm=3javXIhteP4ehlIhSrqM0A==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Usaha Nyiru Dg Kanang","Usaha Utama  : Pembuatan Nyiru","Produk Utama : Nyiru","Tanrara RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN GOWA Provinsi SULAWESI SELATAN 

                                        Telp : - Fax : -","Perorangan","9","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 23,23 Juta","Rp. 160,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 20,00 Juta","4"
"1622316703-4846","https://www.bi.go.id/bisaid","Az-Zahra","https://www.bi.go.id/bisaid/bisaid/Detail?pm=xO8tF2GYZTdSzj7cooRoVA==&mp=LhrIHvxx5uWPOvZTrS6CKw==","","Usaha Utama  :","Produk Utama :","RT/RW   

                                        Kelurahan  Kecamatan  Kabupaten  Provinsi  

                                        Telp :  Fax :","","","","0,00 %","0,00 %","","Rp. 0,00 Juta","Rp. 0,00 Juta","%/Tahun","Rp. 0,00 Juta","Rp. 0,00 Juta",""
"1622315865-4579","https://www.bi.go.id/bisaid","Ira Furniture","https://www.bi.go.id/bisaid/bisaid/Detail?pm=jXrTumE75bO6iWlhl65qUA==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Ira Furniture","Usaha Utama  : Pembuatan furniture","Produk Utama : Furniture rumah tangga","Phlawan Revolusi RT/RW  40823 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAKARTA TIMUR Provinsi DKI JAKARTA 

                                        Telp : - Fax : -","Usaha Dagang (UD)","7","Retail dan Distributor","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   30,00 %","Tinggi","Rp. 1.073,00 Juta","Rp. 150,00 Juta","25 %/Tahun","Rp. 10,00 Juta","Rp. 1.077,00 Juta","9"
"1622316184-4680","https://www.bi.go.id/bisaid","Usaha Tahu Suparni","https://www.bi.go.id/bisaid/bisaid/Detail?pm=b9tr00FPCy8NisLNewFkmQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Usaha Tahu Suparni","Usaha Utama  : Pembuatan Tahu","Produk Utama : Tahu","Bandar 40 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN SIDOARJO Provinsi JAWA TENGAH 

                                        Telp : - Fax : -","Perorangan","9","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Tinggi","Rp. 122,97 Juta","Rp. 88,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 75,00 Juta","5"
"1622315340-4418","https://www.bi.go.id/bisaid","MARJAN BUEN","https://www.bi.go.id/bisaid/bisaid/Detail?pm=hIlcc2GKM3V23LMtSLF+Bw==&mp=fOhzApotY5QnAtxxXvjAfA==","MARJAN BUEN","Usaha Utama  : JUAL KUBUR JADI","Produk Utama : KUBUR JADI","JL RAYA JURUMAPIN RT/RW  2/5/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN SUMBAWA Provinsi NUSA TENGGARA BARAT 

                                        Telp : 0 Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   20,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   80,00 %","Rendah","Rp. 23,00 Juta","Rp. 42,00 Juta","5 %/Tahun","Rp. 9,50 Juta","Rp. 15,00 Juta","3"
"1622317102-4971","https://www.bi.go.id/bisaid","Bata Merah Pak Wage Sumarso","https://www.bi.go.id/bisaid/bisaid/Detail?pm=es2lOnymwI0ckSjdU1JjfA==&mp=fOhzApotY5QnAtxxXvjAfA==","Bata Merah Pak Wage Sumarso","Usaha Utama  : Industri Bata Merah","Produk Utama : Bata Merah","Raya Penggalang RT/RW  2/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN CILACAP Provinsi JAWA TENGAH 

                                        Telp : - Fax : -","Perorangan","5","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 198,00 Juta","Rp. 54,00 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 190,00 Juta","3"
"1622315649-4512","https://www.bi.go.id/bisaid","Mugiwati Bata","https://www.bi.go.id/bisaid/bisaid/Detail?pm=XTs8ug5EBk3lgZS6PqxXcw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Mugiwati Bata","Usaha Utama  : Bata","Produk Utama : Bata","Panjirejo RT/RW  3/2/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PRINGSEWU Provinsi JAWA TIMUR 

                                        Telp : 85279771713 Fax : -","Perorangan","4","Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 111,00 Juta","Rp. 49,20 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 100,00 Juta","3"
"1622317054-4956","https://www.bi.go.id/bisaid","Muhtar","https://www.bi.go.id/bisaid/bisaid/Detail?pm=0120d8UPLQQsVKeWWL64+w==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Muhtar","Usaha Utama  : Pembuatan Kerupuk","Produk Utama : Kerupuk","Purwodadi RT/RW  40547 

                                        Kelurahan - Kecamatan - Kabupaten KOTA PRABUMULIH Provinsi SUMATERA SELATAN 

                                        Telp : - Fax : -","Perorangan","6","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 34,30 Juta","Rp. 120,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 9,00 Juta","4"
"1622314863-4270","https://www.bi.go.id/bisaid","Angga Souvenir","https://www.bi.go.id/bisaid/bisaid/Detail?pm=0yUCspoqln07/vpf2GO4sg==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Angga Souvenir","Usaha Utama  : Pembuatan Fiber Glass","Produk Utama : Fiber Glass","Mas Suharto Kios Jambu No 10A RT/RW  39/13 

                                        Kelurahan - Kecamatan - Kabupaten KOTA YOGYAKARTA Provinsi DI YOGYAKARTA 

                                        Telp : - Fax : -","Perorangan","2","Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Rendah","Rp. 474,00 Juta","Rp. 75,00 Juta","25 %/Tahun","Rp. 10,00 Juta","Rp. 250,00 Juta","6"
