web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622322444-5825","https://www.bi.go.id/bisaid","Laundri Marya","https://www.bi.go.id/bisaid/bisaid/Detail?pm=wgcQR+2xxI76/MpVh9pyfA==&mp=xI6rAeQkygTAn3Z625IGLg==","Laundri Marya","Usaha Utama  : Jasa Laundry","Produk Utama : Jasa Laundry","Jl Melati Pasar Sepinggan RT/RW  2/5/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Sedang","Rp. 50,55 Juta","Rp. 54,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 14,00 Juta","3"
"1622322399-5810","https://www.bi.go.id/bisaid","Penjahit Baju Wanita Yusmawati","https://www.bi.go.id/bisaid/bisaid/Detail?pm=+VlF8Ad4Ib65JqrI2UWEgw==&mp=xI6rAeQkygTAn3Z625IGLg==","Penjahit Baju Wanita Yusmawati","Usaha Utama  : Menjahit Pakaian","Produk Utama : Baju Hasil Jahitan","Mayjend Sutoyo RT/RW  09/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAMBI Provinsi JAMBI 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 101,40 Juta","Rp. 72,00 Juta","- %/Tahun","Rp. 0,00 Juta","Rp. 100,00 Juta","3"
"1622322431-5821","https://www.bi.go.id/bisaid","Oi Sablon","https://www.bi.go.id/bisaid/bisaid/Detail?pm=dYRfMWWCtp92fBgRPsQBMg==&mp=xI6rAeQkygTAn3Z625IGLg==","Oi Sablon","Usaha Utama  : Sablon Dan Stempel","Produk Utama : Sablon Dan Stempel","Tunan Waru Ppu RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PENAJAM PASER UTARA Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","9","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Sedang","Rp. 65,00 Juta","Rp. 60,00 Juta","- %/Tahun","Rp. 5,00 Juta","Rp. 18,60 Juta","3"
"1622322446-5826","https://www.bi.go.id/bisaid","Isi Ulang Mutiara","https://www.bi.go.id/bisaid/bisaid/Detail?pm=l5fqws/f0a54OYgMloxguA==&mp=xI6rAeQkygTAn3Z625IGLg==","Isi Ulang Mutiara","Usaha Utama  : Isi Ulang Air Minum","Produk Utama : Air Galon","Dr Soetomo No 8 RT/RW  8/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 24,64 Juta","Rp. 30,00 Juta","- %/Tahun","Rp. 1,00 Juta","Rp. 4,00 Juta","3"
"1622322420-5817","https://www.bi.go.id/bisaid","Jajanan Nyameng","https://www.bi.go.id/bisaid/bisaid/Detail?pm=M8qqdTHSxh/fXy3g4m7EQg==&mp=xI6rAeQkygTAn3Z625IGLg==","Jajanan Nyameng","Usaha Utama  : Jajanan Tradisional","Produk Utama : Apam","Logvon RT/RW  13/ 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PENAJAM PASER UTARA Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 1,81 Juta","Rp. 10,08 Juta","- %/Tahun","Rp. 1,00 Juta","Rp. 20,00 Juta","3"
"1622322417-5816","https://www.bi.go.id/bisaid","Cuci Rubiyah","https://www.bi.go.id/bisaid/bisaid/Detail?pm=bjR8W0WvvbNZJG6tcZkDgg==&mp=xI6rAeQkygTAn3Z625IGLg==","Cuci Rubiyah","Usaha Utama  : Buruh Cuci","Produk Utama : Jasa Cuci Rumahan","Tirta RT/RW  07/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Memenuhi Order Dari Distributor/Eksportir/Trader   30,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %","Tinggi","Rp. 15,21 Juta","Rp. 6,30 Juta","- %/Tahun","Rp. 5,00 Juta","Rp. 11,00 Juta","3"
"1622322441-5824","https://www.bi.go.id/bisaid","UD Amnah","https://www.bi.go.id/bisaid/bisaid/Detail?pm=kAEQ7OajG4r5CtHBCjQK/Q==&mp=xI6rAeQkygTAn3Z625IGLg==","UD Amnah","Usaha Utama  : Penjualan Sembako","Produk Utama : Sembako","Wiyata RT/RW  22/57 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Usaha Dagang (UD)","1","Retail","Memenuhi Order Dari Distributor/Eksportir/Trader   80,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   20,00 %","Sedang","Rp. 57,25 Juta","Rp. 30,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 50,00 Juta","3"
"1622322428-5820","https://www.bi.go.id/bisaid","Orchid","https://www.bi.go.id/bisaid/bisaid/Detail?pm=W0ZMHPtQjBGI6FMd01naLA==&mp=xI6rAeQkygTAn3Z625IGLg==","Orchid","Usaha Utama  : Roti","Produk Utama : Roti","Jl Provinsi Km 3 RT/RW  03/ 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PENAJAM PASER UTARA Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 13,10 Juta","Rp. 15,00 Juta","- %/Tahun","Rp. 5,00 Juta","Rp. 0,01 Juta","2"
"1622322452-5828","https://www.bi.go.id/bisaid","Nurmila Aksesoris","https://www.bi.go.id/bisaid/bisaid/Detail?pm=0kpU6PnrWiesZzGHuIu8+g==&mp=xI6rAeQkygTAn3Z625IGLg==","Nurmila Aksesoris","Usaha Utama  : Pembuatan Aksesoris","Produk Utama : Bros","Strat 6 RT/RW  10/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tinggi","Rp. 37,20 Juta","Rp. 6,50 Juta","- %/Tahun","Rp. 5,00 Juta","Rp. 35,00 Juta","3"
"1622322425-5819","https://www.bi.go.id/bisaid","Hadijah Catring","https://www.bi.go.id/bisaid/bisaid/Detail?pm=8wM4ROekrwABNSV8Y7DGAQ==&mp=xI6rAeQkygTAn3Z625IGLg==","Hadijah Catring","Usaha Utama  : Catring","Produk Utama : Catring","Prov RT/RW  5/2/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PENAJAM PASER UTARA Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 74,05 Juta","Rp. 80,00 Juta","- %/Tahun","Rp. 5,00 Juta","Rp. 50,00 Juta","3"
