web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622321992-5789","https://www.bi.go.id/bisaid","Kos Yuslih","https://www.bi.go.id/bisaid/bisaid/Detail?pm=fbbxzbFfM/hqF0vQcbbETQ==&mp=xI6rAeQkygTAn3Z625IGLg==","Kos Yuslih","Usaha Utama  : Kos","Produk Utama : Sewa Kamar","Angkara No 55 RT/RW  48/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 351,00 Juta","Rp. 45,00 Juta","- %/Tahun","Rp. 5,00 Juta","Rp. 0,00 Juta","4"
"1622321978-5784","https://www.bi.go.id/bisaid","RUMAH KONTRAKAN","https://www.bi.go.id/bisaid/bisaid/Detail?pm=tkXjvqc0J1cpt3FcqWQjZw==&mp=fOhzApotY5QnAtxxXvjAfA==","RUMAH KONTRAKAN","Usaha Utama  : RUMAH SEWA","Produk Utama : RUMAH SEWA","WARIJI - BLANG KOLAK 1 RT/RW  00/00 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN ACEH TENGAH Provinsi ACEH 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Rendah","Rp. 1.200,00 Juta","Rp. 14.000,00 Juta","5 %/Tahun","Rp. 10,00 Juta","Rp. 10,00 Juta","4"
"1622321970-5781","https://www.bi.go.id/bisaid","Rental Dandy Disc","https://www.bi.go.id/bisaid/bisaid/Detail?pm=Sh0bQ9pGqXlI1yinfi7xnw==&mp=2BbfzMJpZb2nANZ3GT30ng==","Rental Dandy Disc","Usaha Utama  : Rental & Jual Kaset DVD","Produk Utama : Rental & Jual Kaset DVD","Jl. Dr. Soetomo RT/RW  40575 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN OGAN KOMERING ULU Provinsi SUMATERA SELATAN 

                                        Telp : - Fax : -","Perorangan","1","-","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","-","Rp. 274,70 Juta","Rp. 25,00 Juta","15 %/Tahun","Rp. 10,00 Juta","Rp. 250,00 Juta","5"
"1622321959-5777","https://www.bi.go.id/bisaid","CV Dimas Pratama Jaya","https://www.bi.go.id/bisaid/bisaid/Detail?pm=v4/7lM6HUKBw9tCWXY2w9Q==&mp=5JdvraNzQnzSzI+hC9alEQ==","CV Dimas Pratama Jaya","Usaha Utama  : Ekspedisi","Produk Utama : Ekspedisi","Gunung Rejo No. 12 RT/RW  10/ 

                                        Kelurahan GUNUNG SARI ULU Kecamatan BALIKPAPAN TENGAH Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","CV","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   10,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   90,00 %","Tinggi","Rp. 380,20 Juta","Rp. 288,00 Juta","- %/Tahun","Rp. 3,75 Juta","Rp. 311,35 Juta","4"
"1622321990-5788","https://www.bi.go.id/bisaid","CV Rouli Jaya Mandiri Tour & Travel","https://www.bi.go.id/bisaid/bisaid/Detail?pm=9/lAvK+azkPXHdZChPBCyQ==&mp=xI6rAeQkygTAn3Z625IGLg==","CV Rouli Jaya Mandiri Tour & Travel","Usaha Utama  : Penjualan Tiket","Produk Utama : Tiket","Tiga No 5 RT/RW  30/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","CV","3","Retail","Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Tinggi","Rp. 18,50 Juta","Rp. 24,00 Juta","- %/Tahun","Rp. 3,00 Juta","Rp. 500,00 Juta","10"
"1622321981-5785","https://www.bi.go.id/bisaid","PAUZI AGEN","https://www.bi.go.id/bisaid/bisaid/Detail?pm=0+l5bjE5bwnFhaJ12+l+Fw==&mp=fOhzApotY5QnAtxxXvjAfA==","PAUZI AGEN","Usaha Utama  : AGEN KENDARAAN","Produk Utama : JASA AGEN KENDARAAN","KE TANAH ABU RT/RW  00/00 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN ACEH TENGAH Provinsi ACEH 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 5.500,00 Juta","Rp. 68.000,00 Juta","0 %/Tahun","Rp. 10,00 Juta","Rp. 40,00 Juta","4"
"1622321967-5780","https://www.bi.go.id/bisaid","Dewa Rental Playstation","https://www.bi.go.id/bisaid/bisaid/Detail?pm=HBsyT9FAM7k5MIcvSzPilQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Dewa Rental Playstation","Usaha Utama  : Rental Playstation","Produk Utama : Playstation","Cilliwung Sanggeng RT/RW  1/6/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN MANOKWARI Provinsi PAPUA BARAT 

                                        Telp : 85254574029 Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 660,00 Juta","Rp. 48,00 Juta","20 %/Tahun","Rp. 0,00 Juta","Rp. 24,00 Juta","5"
"1622321995-5790","https://www.bi.go.id/bisaid","Salshafa Collection","https://www.bi.go.id/bisaid/bisaid/Detail?pm=ahr7SqmtfGtG4t96E+BmbQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Salshafa Collection","Usaha Utama  : Penyewaan Pakaian Adat","Produk Utama : Pakaian Adat","SMU 4  RT. 103 RT/RW  -/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   60,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   40,00 %","Sedang","Rp. 299,00 Juta","Rp. 6,25 Juta","20 %/Tahun","Rp. 7,00 Juta","Rp. 18,00 Juta","5"
"1622321955-5776","https://www.bi.go.id/bisaid","Widya Collection","https://www.bi.go.id/bisaid/bisaid/Detail?pm=+6kRmD/IV86LxhwR3dBHhg==&mp=5JdvraNzQnzSzI+hC9alEQ==","Widya Collection","Usaha Utama  : Sewa Baju","Produk Utama : Sewa Baju","Gunung Belah No. 30 RT/RW  17/ 

                                        Kelurahan GUNUNG SARI ULU Kecamatan BALIKPAPAN TENGAH Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail dan Distributor","Memenuhi Order Dari Distributor/Eksportir/Trader   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Tinggi","Rp. 295,50 Juta","Rp. 310,00 Juta","- %/Tahun","Rp. 5,00 Juta","Rp. 200,00 Juta","4"
"1622321962-5778","https://www.bi.go.id/bisaid","PT. Pedoman Travel","https://www.bi.go.id/bisaid/bisaid/Detail?pm=uIJtVCs4v+Akw3PcTAlD3A==&mp=Bjv3m4lcInn46OWc4jy6kQ==","","Usaha Utama  :","Produk Utama :","RT/RW   

                                        Kelurahan  Kecamatan  Kabupaten  Provinsi  

                                        Telp :  Fax :","","","","0,00 %","0,00 %","","Rp. 0,00 Juta","Rp. 0,00 Juta","%/Tahun","Rp. 0,00 Juta","Rp. 0,00 Juta",""
