web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622321488-5703","https://www.bi.go.id/bisaid","Penjahit Berkat","https://www.bi.go.id/bisaid/bisaid/Detail?pm=vBtmEsPx1c8LCVJLo/znVg==&mp=5JdvraNzQnzSzI+hC9alEQ==","Penjahit Berkat","Usaha Utama  : Menjahit Baju","Produk Utama : Kain","Jend. Sudirman No. 09 RT/RW  / 

                                        Kelurahan KLANDASAN ULU Kecamatan BALIKPAPAN KOTA Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail dan Distributor","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Tinggi","Rp. 11,67 Juta","Rp. 32,40 Juta","- %/Tahun","Rp. 9,00 Juta","Rp. 14,00 Juta","7"
"1622321592-5726","https://www.bi.go.id/bisaid","Pangkas Rambut Sportif","https://www.bi.go.id/bisaid/bisaid/Detail?pm=JikQIEjvlIo8WaIgsU55BA==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Pangkas Rambut Sportif","Usaha Utama  : Pangkas Rambut","Produk Utama : -","Pangeran Antasari No. 05  RT/RW  8/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 3,00 Juta","Rp. 30,00 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 14,00 Juta","5"
"1622321818-5767","https://www.bi.go.id/bisaid","Salon Tonno","https://www.bi.go.id/bisaid/bisaid/Detail?pm=gQq6K+zSiYYdYlz0K53mRw==&mp=fOhzApotY5QnAtxxXvjAfA==","Salon Tonno","Usaha Utama  : Pangkas Rambut","Produk Utama : Salon","Wijaya Kusumo N.2 RT/RW  34/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tinggi","Rp. 68,50 Juta","Rp. 90,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 59,00 Juta","6"
"1622321588-5725","https://www.bi.go.id/bisaid","Arjuna Foto & Salon","https://www.bi.go.id/bisaid/bisaid/Detail?pm=1CIP1GLDkWvfAKJv75AQew==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Arjuna Foto & Salon","Usaha Utama  : Fotografi","Produk Utama : Fotografi, Cuci Cetak Foto","Jend. A. Yani No. 37  RT/RW  05/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : 0542 422917 Fax : -","Perorangan","15","Retail","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Tinggi","Rp. 366,20 Juta","Rp. 615,00 Juta","20 %/Tahun","Rp. 0,00 Juta","Rp. 0,00 Juta","9"
"1622321544-5716","https://www.bi.go.id/bisaid","Salon Anik","https://www.bi.go.id/bisaid/bisaid/Detail?pm=wfNM+ZP7DXs9Gn2PdZJZsw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Salon Anik","Usaha Utama  : Salon","Produk Utama : Gunting Rambut","Moh. Yamin No.8 RT/RW  1/2/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA PALU Provinsi SULAWESI TENGAH 

                                        Telp : 81341025136 Fax : -","Perorangan","3","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Rendah","Rp. 1.047.000.000,00 Juta","Rp. 160.000.000,00 Juta","30 %/Tahun","Rp. 0,00 Juta","Rp. 1.366,00 Juta","6"
"1622321728-5747","https://www.bi.go.id/bisaid","Penjahit Ahulu","https://www.bi.go.id/bisaid/bisaid/Detail?pm=V6DscPEXTgQ+nO0GKgQWJg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Penjahit Ahulu","Usaha Utama  : Penjahit Pakaian","Produk Utama : Pakaian","Gereja RT/RW  0/0 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN TAPANULI UTARA Provinsi SUMATERA UTARA 

                                        Telp : 0 Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Sedang","Rp. 7,00 Juta","Rp. 63,00 Juta","30 %/Tahun","Rp. 2,00 Juta","Rp. 0,00 Juta","3"
"1622321524-5711","https://www.bi.go.id/bisaid","KURNIA SALON","https://www.bi.go.id/bisaid/bisaid/Detail?pm=5Q83QHzkND4NglhHUQN5Sg==&mp=Bjv3m4lcInn46OWc4jy6kQ==","KURNIA SALON","Usaha Utama  : Salon","Produk Utama : Salon","H.umar RT/RW  2/4/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA CILEGON Provinsi BANTEN 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Sedang","Rp. 18,20 Juta","Rp. 48,00 Juta","10 %/Tahun","Rp. 5,00 Juta","Rp. 23,00 Juta","3"
"1622321528-5712","https://www.bi.go.id/bisaid","RISMA PENGANTIN","https://www.bi.go.id/bisaid/bisaid/Detail?pm=on9YWkFbgpoNC7Itt7WOEA==&mp=Bjv3m4lcInn46OWc4jy6kQ==","RISMA PENGANTIN","Usaha Utama  : PERIAS PENGANTIN","Produk Utama : PERIAS PENGANTIN","SEI TELADAN LINK I RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KOTA TANJUNG BALAI Provinsi SUMATERA UTARA 

                                        Telp : - Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Sedang","Rp. 197,10 Juta","Rp. 35,20 Juta","5 %/Tahun","Rp. 10,00 Juta","Rp. 160,00 Juta","5"
"1622321493-5704","https://www.bi.go.id/bisaid","YUSTIN TAILOR","https://www.bi.go.id/bisaid/bisaid/Detail?pm=RFqOnvcsIbL08GaYuS2ysA==&mp=JHuIBacQ7Iz+a8xx8lclUA==","YUSTIN TAILOR","Usaha Utama  : JAHITAN","Produk Utama : PAKAIAN","GIRIAN INDAH RT/RW  1/1/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BITUNG Provinsi SULAWESI UTARA 

                                        Telp : 81244657680 Fax : -","Perorangan","4","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Rendah","Rp. 48,60 Juta","Rp. 38,00 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 37,00 Juta","1"
"1622321679-5738","https://www.bi.go.id/bisaid","Penjahit Suwarno","https://www.bi.go.id/bisaid/bisaid/Detail?pm=bCYyVfrEfmK/HhCKE5cWkw==&mp=fOhzApotY5QnAtxxXvjAfA==","Penjahit Suwarno","Usaha Utama  : Jasa Jahit","Produk Utama : Jasa Jahit","Jalan Karang Anyar RT/RW  1/1/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN LAMPUNG SELATAN Provinsi LAMPUNG 

                                        Telp : 8137955707 Fax : -","Perorangan","1","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   0,00 %","Tidak Ada   100,00 %","Sedang","Rp. 54,60 Juta","Rp. 102,00 Juta","10 %/Tahun","Rp. 8,00 Juta","Rp. 88,00 Juta","5"
