web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622322676-5837","https://www.bi.go.id/bisaid","Rental Hamka","https://www.bi.go.id/bisaid/bisaid/Detail?pm=wsB8Sr5xY/ClVnT2zcc6GQ==&mp=tFF9KAXBbci/UefzhiAg3g==","Rental Hamka","Usaha Utama  : Jasa","Produk Utama : Kaset","Nangka RT/RW  14/04 

                                        Kelurahan - Kecamatan AIMAS Kabupaten KABUPATEN SORONG Provinsi PAPUA BARAT 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 26,20 Juta","Rp. 18,20 Juta","- %/Tahun","Rp. 8,00 Juta","Rp. 2.010,00 Juta","4"
"1622322860-5867","https://www.bi.go.id/bisaid","Bengkel Nuralim","https://www.bi.go.id/bisaid/bisaid/Detail?pm=0yTVQwvrPimS3PFPxCgauA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Bengkel Nuralim","Usaha Utama  : Tambal Ban","Produk Utama : Bandalam","Ahmad Yani RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PESAWARAN Provinsi LAMPUNG 

                                        Telp : - Fax : -","Perorangan","0","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Sedang","Rp. 93,00 Juta","Rp. 30,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 30,00 Juta","7"
"1622322900-5881","https://www.bi.go.id/bisaid","Wisma Kita","https://www.bi.go.id/bisaid/bisaid/Detail?pm=WkSIE9QmpU/v1ZMz6UGSYQ==&mp=xI6rAeQkygTAn3Z625IGLg==","Wisma Kita","Usaha Utama  : Wisma","Produk Utama : Kamar Wisma","Wiyata RT/RW  22/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Memenuhi Order Dari Distributor/Eksportir/Trader   100,00 %","Rendah","Rp. 158,35 Juta","Rp. 15,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 50,00 Juta","3"
"1622322842-5861","https://www.bi.go.id/bisaid","SALON DAHLIA","https://www.bi.go.id/bisaid/bisaid/Detail?pm=oKTExik1ebI+dV1U3AOJ/w==&mp=JHuIBacQ7Iz+a8xx8lclUA==","SALON DAHLIA","Usaha Utama  : SALON","Produk Utama : PAKAIAN PERKAWINAN","GIRIAN INDAH RT/RW  1/5/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BITUNG Provinsi SULAWESI UTARA 

                                        Telp : - Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tinggi","Rp. 55,50 Juta","Rp. 18,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 55,00 Juta","1"
"1622323073-5928","https://www.bi.go.id/bisaid","Global Elektronic Service","https://www.bi.go.id/bisaid/bisaid/Detail?pm=zj8b6uzERja2Q0aL13Zmyw==&mp=xI6rAeQkygTAn3Z625IGLg==","Global Elektronic Service","Usaha Utama  : Service Dan Jual Beli Elektronic","Produk Utama : Elektronic","Simpang 4 Nudi Exxon Mobile RT/RW  / 

                                        Kelurahan - Kecamatan MEURAH MULIA Kabupaten KABUPATEN ACEH UTARA Provinsi ACEH 

                                        Telp : 85263910789 Fax : -","Perorangan","4","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 89,80 Juta","Rp. 468,00 Juta","- %/Tahun","Rp. 0,00 Juta","Rp. 219,00 Juta","7"
"1622322797-5845","https://www.bi.go.id/bisaid","Kios Pulsa Utami","https://www.bi.go.id/bisaid/bisaid/Detail?pm=ovIPTr0IzPNfks/WuV91IQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==","Kios Pulsa Utami","Usaha Utama  : Perdagangan Pulsa","Produk Utama : Pulsa","S Parman RT/RW  / 

                                        Kelurahan - Kecamatan BALIKPAPAN TENGAH Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 16,36 Juta","Rp. 16,80 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 15,00 Juta","5"
"1622323046-5922","https://www.bi.go.id/bisaid","Penjahit Leman","https://www.bi.go.id/bisaid/bisaid/Detail?pm=NOKK+5WVTcfaoUHFBIf+OQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==","Penjahit Leman","Usaha Utama  : Penjahit","Produk Utama : Pakaian Jadi","Sutan Syahrir RT/RW  24/10 

                                        Kelurahan - Kecamatan - Kabupaten KOTA METRO Provinsi LAMPUNG 

                                        Telp : - Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 95,00 Juta","Rp. 78,00 Juta","15 %/Tahun","Rp. 7,00 Juta","Rp. 10,00 Juta","4"
"1622322811-5850","https://www.bi.go.id/bisaid","Warkop","https://www.bi.go.id/bisaid/bisaid/Detail?pm=osUtUBkoFJKU5qBvhrBKsQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==","Warkop","Usaha Utama  : Bensin","Produk Utama : Bensin","Siaga RT/RW  23/ 

                                        Kelurahan - Kecamatan BALIKPAPAN SELATAN Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 60,61 Juta","Rp. 60,48 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 50,00 Juta","5"
"1622322926-5888","https://www.bi.go.id/bisaid","Penjahit Abadi","https://www.bi.go.id/bisaid/bisaid/Detail?pm=I2tLj7QrROdFF05BVekfRQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Penjahit Abadi","Usaha Utama  : Penjahitan","Produk Utama : Pakaian","Trikora Sowi II RT/RW  2/4/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN MANOKWARI Provinsi PAPUA BARAT 

                                        Telp : - Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 240,00 Juta","Rp. 33,00 Juta","20 %/Tahun","Rp. 0,00 Juta","Rp. 32,00 Juta","4"
"1622323016-5913","https://www.bi.go.id/bisaid","Laundryque","https://www.bi.go.id/bisaid/bisaid/Detail?pm=NTUKTjKlttix9Zrf6qielg==&mp=fOhzApotY5QnAtxxXvjAfA==","Laundryque","Usaha Utama  : Laundry","Produk Utama : Pakaian Bersih","Sumberjo I No.32 RT/RW  34/- 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Sedang","Rp. 42,00 Juta","Rp. 72,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 5,00 Juta","4"
