web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622322305-5799","https://www.bi.go.id/bisaid","Akrilic","https://www.bi.go.id/bisaid/bisaid/Detail?pm=VlMxXBDUtNGIYGsX5cxTEQ==&mp=Q47xnX4Fmgxfelhgew2rrQ==","Akrilic","Usaha Utama  : Kerajinan","Produk Utama : Kerajinan Akrilik","Jl Raya Sungailiat Belinyu Sinar Baru RT/RW  5/1/2020 

                                        Kelurahan SINAR BARU Kecamatan SUNGAI LIAT Kabupaten KABUPATEN BANGKA Provinsi KEPULAUAN BANGKA BELITUNG 

                                        Telp : - Fax : -","Perorangan","3","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Sedang","Rp. 5,00 Juta","Rp. 10,91 Juta","- %/Tahun","Rp. 7,50 Juta","Rp. 100,00 Juta","8"
"1622322315-5802","https://www.bi.go.id/bisaid","Den Mas Joyo","https://www.bi.go.id/bisaid/bisaid/Detail?pm=P98STvTxw5Xnd12QQ7aRBA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Den Mas Joyo","Usaha Utama  : Rental PS","Produk Utama : Rental PS","Gunung Muria RT/RW  7/7/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BANYUMAS Provinsi JAWA TENGAH 

                                        Telp : 85642844833 Fax : -","Perorangan","5","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Sedang","Rp. 38,00 Juta","Rp. 90,00 Juta","100 %/Tahun","Rp. 10,00 Juta","Rp. 80,00 Juta","6"
"1622322302-5798","https://www.bi.go.id/bisaid","Kurnia Musik","https://www.bi.go.id/bisaid/bisaid/Detail?pm=QrFYhZ9y4y+5UBXn6zYl8w==&mp=xI6rAeQkygTAn3Z625IGLg==","Kurnia Musik","Usaha Utama  : Organ Tunggal","Produk Utama : Jasa Organ","Simpang Ness RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BATANG HARI Provinsi JAMBI 

                                        Telp : - Fax : -","Perorangan","5","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tinggi","Rp. 484,10 Juta","Rp. 120,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 320,00 Juta","5"
"1622322324-5805","https://www.bi.go.id/bisaid","Production House Basyarudin","https://www.bi.go.id/bisaid/bisaid/Detail?pm=kUB8fG7NVYN99Yyfm5kBqg==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Production House Basyarudin","Usaha Utama  : Production House","Produk Utama : Membuat Iklan/tv, Editing , Dll","Bekasi Timur IV RT/RW  6/11/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAKARTA TIMUR Provinsi DKI JAKARTA 

                                        Telp : - Fax : -","Perorangan","3","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Sedang","Rp. 460,00 Juta","Rp. 480,00 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 405,00 Juta","7"
"1622322331-5807","https://www.bi.go.id/bisaid","FOTO STUDIO IDOLA","https://www.bi.go.id/bisaid/bisaid/Detail?pm=d+9fJPDxZDyLGJu0pdYOhQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==","FOTO STUDIO IDOLA","Usaha Utama  : FOTO DIGITAL","Produk Utama : JASA FOTO","HAYAM WURUK RT/RW  2/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BAUBAU Provinsi SULAWESI TENGGARA 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Tinggi","Rp. 54,60 Juta","Rp. 83,00 Juta","30 %/Tahun","Rp. 0,00 Juta","Rp. 10,00 Juta","6"
"1622322321-5804","https://www.bi.go.id/bisaid","Aak PS","https://www.bi.go.id/bisaid/bisaid/Detail?pm=+pympYWjvBaBgL6qfNbfVA==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Aak PS","Usaha Utama  : PS","Produk Utama : -","Semeru RT/RW  4/1/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BENGKULU Provinsi BENGKULU 

                                        Telp : (0736) 270181 Fax : -","Perorangan","0","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   80,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   20,00 %","Sedang","Rp. 59,50 Juta","Rp. 37,00 Juta","15 %/Tahun","Rp. 10,00 Juta","Rp. 40,00 Juta","5"
"1622322311-5801","https://www.bi.go.id/bisaid","Zahra Gallery","https://www.bi.go.id/bisaid/bisaid/Detail?pm=8OGPo5PJOhdIvlWCr1pF8w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Zahra Gallery","Usaha Utama  : Galeri","Produk Utama : Lukisan","Raya Bernung RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PESAWARAN Provinsi LAMPUNG 

                                        Telp : - Fax : -","Perorangan","0","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 12,50 Juta","Rp. 60,00 Juta","10 %/Tahun","Rp. 8,00 Juta","Rp. 20,00 Juta","3"
"1622322318-5803","https://www.bi.go.id/bisaid","Toko American Star","https://www.bi.go.id/bisaid/bisaid/Detail?pm=vjyhYkYx3JSEpS7LjCP6HQ==&mp=xI6rAeQkygTAn3Z625IGLg==","Toko American Star","Usaha Utama  : Kerajinan Khas Kalimantan","Produk Utama : Baju","Pasar Impres RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BALIKPAPAN Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","5","Retail dan Distributor","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %","Sedang","Rp. 855,00 Juta","Rp. 120,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 380,00 Juta","4"
"1622322327-5806","https://www.bi.go.id/bisaid","Pedagang Kerajinan Khairman","https://www.bi.go.id/bisaid/bisaid/Detail?pm=Iu8wjvi6TMTyaxYQZp8W9w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Pedagang Kerajinan Khairman","Usaha Utama  : Pedagang Kerajinan","Produk Utama : Kerajinan","Bawomataluo RT/RW  0/0 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN NIAS SELATAN Provinsi SUMATERA UTARA 

                                        Telp : 0 Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Tinggi","Rp. 138,00 Juta","Rp. 30,00 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 140,00 Juta","3"
"1622322308-5800","https://www.bi.go.id/bisaid","Taman Sakura Garden","https://www.bi.go.id/bisaid/bisaid/Detail?pm=IaKjoVRTLQMHrIu/Np4vWQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Taman Sakura Garden","Usaha Utama  : Taman","Produk Utama : Tanaman","Yos Sudarso, Depan Perumahan S RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA B A T A M Provinsi KEPULAUAN RIAU 

                                        Telp : - Fax : -","Perorangan","2","Retail dan Distributor","Tidak Ada   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Tinggi","Rp. 169,00 Juta","Rp. 0,00 Juta","0 %/Tahun","Rp. 5,00 Juta","Rp. 20,00 Juta","6"
