web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622319768-5401","https://www.bi.go.id/bisaid","Bintang Karya Beton","https://www.bi.go.id/bisaid/bisaid/Detail?pm=ZtWXukN18WXY9oRXlwktvQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Bintang Karya Beton","Usaha Utama  : .","Produk Utama : Batako Dan Gorong-gorong","Widuri 54 RT/RW  1/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BANYUWANGI Provinsi JAWA TIMUR 

                                        Telp : 81336729095 Fax : -","Perorangan","4","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %","Sedang","Rp. 262,00 Juta","Rp. 535,00 Juta","15 %/Tahun","Rp. 0,00 Juta","Rp. 0,00 Juta","5"
"1622319740-5393","https://www.bi.go.id/bisaid","UD. Ridho","https://www.bi.go.id/bisaid/bisaid/Detail?pm=EMlHoz9Ne2HNRzfkFPZ/+Q==&mp=Bjv3m4lcInn46OWc4jy6kQ==","UD. Ridho","Usaha Utama  : Jual Bahan Bangunan","Produk Utama : Pasir, Kerikil, Batubata Dll","Raden Puguh  RT/RW  0/0 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN LOMBOK TENGAH Provinsi NUSA TENGGARA BARAT 

                                        Telp : 81907133784 Fax : -","Usaha Dagang (UD)","6","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %","Sedang","Rp. 516,00 Juta","Rp. 255,00 Juta","40 %/Tahun","Rp. 0,00 Juta","Rp. 1.700,00 Juta","6"
"1622319745-5395","https://www.bi.go.id/bisaid","Aam Bata","https://www.bi.go.id/bisaid/bisaid/Detail?pm=nTYbXl9BaZFfIB9TXeRq9w==&mp=2BbfzMJpZb2nANZ3GT30ng==","Aam Bata","Usaha Utama  : Pembuatan Bata Bolong","Produk Utama : Bata Bolong","Jl.Sumber Jaya RT/RW  40696 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN OGAN KOMERING ULU Provinsi SUMATERA SELATAN 

                                        Telp : - Fax : -","Perorangan","6","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   30,00 %","Tinggi","Rp. 37,00 Juta","Rp. 102,00 Juta","30 %/Tahun","Rp. 8,00 Juta","Rp. 15,00 Juta","5"
"1622319757-5398","https://www.bi.go.id/bisaid","Mebel Jito","https://www.bi.go.id/bisaid/bisaid/Detail?pm=yvvcAJvg7i0aTb54TFK70g==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Mebel Jito","Usaha Utama  : Mebel","Produk Utama : Pintu, Jendela, Kusen","Jurug RT/RW  1/4/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BOYOLALI Provinsi JAWA TENGAH 

                                        Telp : - Fax : -","Perorangan","3","Distributor","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Rendah","Rp. 78.000.000,00 Juta","Rp. 410,00 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 32,00 Juta","7"
"1622319765-5400","https://www.bi.go.id/bisaid","Industri Batu Bata","https://www.bi.go.id/bisaid/bisaid/Detail?pm=oljLic2xa+yUxav0yDvYxQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Industri Batu Bata","Usaha Utama  : Industri Batu Bata","Produk Utama : Batu Bata","Dukuh Krecek RT/RW  4/2/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BOYOLALI Provinsi JAWA TENGAH 

                                        Telp : 81548737508 Fax : -","Perorangan","2","Retail dan Distributor","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Tinggi","Rp. 71.300.000,00 Juta","Rp. 72,00 Juta","50 %/Tahun","Rp. 10,00 Juta","Rp. 80,00 Juta","7"
"1622319761-5399","https://www.bi.go.id/bisaid","Usaha Mebel Bp. Tujino","https://www.bi.go.id/bisaid/bisaid/Detail?pm=ns3ZuhGczDmgbMbzfUtL1A==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Usaha Mebel Bp. Tujino","Usaha Utama  : Mebel","Produk Utama : Pintu, Kusen","Dk. Dukuh RT/RW  1/2/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BOYOLALI Provinsi JAWA TENGAH 

                                        Telp : 81548736256 Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tinggi","Rp. 26.200.000,00 Juta","Rp. 180,00 Juta","5 %/Tahun","Rp. 5,00 Juta","Rp. 7,00 Juta","5"
"1622319775-5403","https://www.bi.go.id/bisaid","PG. Marjo Genteng","https://www.bi.go.id/bisaid/bisaid/Detail?pm=9Q4zFZtpvtAKw7Adq7WIdw==&mp=Bjv3m4lcInn46OWc4jy6kQ==","PG. Marjo Genteng","Usaha Utama  : Pembuatan Genteng","Produk Utama : Genteng","Karang Kepak RT/RW  6/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BOYOLALI Provinsi JAWA TENGAH 

                                        Telp : - Fax : -","Perorangan","0","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 14.450.000,00 Juta","Rp. 41,40 Juta","15 %/Tahun","Rp. 7,00 Juta","Rp. 8,00 Juta","3"
"1622319742-5394","https://www.bi.go.id/bisaid","Barokah","https://www.bi.go.id/bisaid/bisaid/Detail?pm=9TbZKN/HWyxbBZ0aRKM0zQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Barokah","Usaha Utama  : Jasa Pemasangan Plafon","Produk Utama : Plafon","Moubang RT/RW  00/00 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN PARIGI MOUTONG Provinsi SULAWESI TENGAH 

                                        Telp : - Fax : -","Perorangan","5","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 235,00 Juta","Rp. 89,00 Juta","40 %/Tahun","Rp. 10,00 Juta","Rp. 95,00 Juta","7"
"1622319771-5402","https://www.bi.go.id/bisaid","Saiful Huda","https://www.bi.go.id/bisaid/bisaid/Detail?pm=R0kZuiVvNPVtI0ox5KcUbQ==&mp=2BbfzMJpZb2nANZ3GT30ng==","Saiful Huda","Usaha Utama  : Genteng Semen","Produk Utama : Genteng Semen","Jl Raya Joho - Wates RT/RW  23/5 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN KEDIRI Provinsi DI YOGYAKARTA 

                                        Telp : 85648254219 Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Sedang","Rp. 15,80 Juta","Rp. 50,00 Juta","25 %/Tahun","Rp. 4,90 Juta","Rp. 0,00 Juta","3"
"1622319754-5397","https://www.bi.go.id/bisaid","ATM Mebel","https://www.bi.go.id/bisaid/bisaid/Detail?pm=2Tw/IcogEQy+cJZEgoCcEw==&mp=2BbfzMJpZb2nANZ3GT30ng==","ATM Mebel","Usaha Utama  : Bangunan","Produk Utama : Bangunan","Jalan Imam Bonjol RT/RW  16/06 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN OGAN KOMERING ULU Provinsi SUMATERA SELATAN 

                                        Telp : - Fax : -","Perorangan","8","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   50,00 %","Sedang","Rp. 440,00 Juta","Rp. 180,00 Juta","50 %/Tahun","Rp. 8,00 Juta","Rp. 20,00 Juta","8"
