web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622311968-3551","https://www.bi.go.id/bisaid","NABIL","https://www.bi.go.id/bisaid/bisaid/Detail?pm=t1dKKn/fqWCXydQMRR8Rbg==&mp=fOhzApotY5QnAtxxXvjAfA==","NABIL","Usaha Utama  : TOKO KELONTONG","Produk Utama : KELONTONG","SP KLAPING RT/RW  00/00 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN ACEH TENGAH Provinsi ACEH 

                                        Telp : - Fax : -","Perorangan","4","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Sedang","Rp. 365.000.000,00 Juta","Rp. 52.000.000,00 Juta","5 %/Tahun","Rp. 0,00 Juta","Rp. 0,00 Juta","-"
"1622311460-3421","https://www.bi.go.id/bisaid","UD. Rahma","https://www.bi.go.id/bisaid/bisaid/Detail?pm=gxqwNY11jv3eWl8w/oRn+w==&mp=LhrIHvxx5uWPOvZTrS6CKw==","UD. Rahma","Usaha Utama  : Dagang Pakaian","Produk Utama : Busana Muslim","Parumpa, Pusat NIaga Daya Blok A.143 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA MAKASSAR Provinsi SULAWESI SELATAN 

                                        Telp : - Fax : -","Perorangan","5","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   75,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   25,00 %","Rendah","Rp. 189,00 Juta","Rp. 650,00 Juta","20 %/Tahun","Rp. 0,00 Juta","Rp. 500,00 Juta","5"
"1622311606-3457","https://www.bi.go.id/bisaid","Warung Ani","https://www.bi.go.id/bisaid/bisaid/Detail?pm=2O3UhooAKoYhgRyNcKRQtg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Warung Ani","Usaha Utama  : Dagang Sembako","Produk Utama : Makanan Ringan, Minuman,  Dll","Untung Suropati SPN No. 25 B RT/RW  06/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BANDAR LAMPUNG Provinsi LAMPUNG 

                                        Telp : 81379881493 Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 45,90 Juta","Rp. 425,00 Juta","25 %/Tahun","Rp. 10,00 Juta","Rp. 216,00 Juta","6"
"1622309966-3016","https://www.bi.go.id/bisaid","Akbar Cell","https://www.bi.go.id/bisaid/bisaid/Detail?pm=WXjDuctTUYUe8fNcS+7l+A==&mp=xI6rAeQkygTAn3Z625IGLg==","Akbar Cell","Usaha Utama  : Toko Pulsa Dan Accesories Hp","Produk Utama : Pulsa Dan Accesories Hp","Matahari 1 RT/RW  7/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAMBI Provinsi JAMBI 

                                        Telp : - Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Sedang","Rp. 53,50 Juta","Rp. 180,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 210,00 Juta","6"
"1622311023-3306","https://www.bi.go.id/bisaid","Nabila Cell","https://www.bi.go.id/bisaid/bisaid/Detail?pm=kbuSgkw7hvhbrk3IPVNrSw==&mp=2BbfzMJpZb2nANZ3GT30ng==","Nabila Cell","Usaha Utama  : Dagang Pulsa","Produk Utama : Pulsa","Jl. Soekarno Hatta No 25 RT/RW  40548 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN LAMPUNG UTARA Provinsi LAMPUNG 

                                        Telp : 85279235555 Fax : -","Perorangan","1","Retail","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 38,00 Juta","Rp. 465,00 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 30,00 Juta","4"
"1622311411-3407","https://www.bi.go.id/bisaid","FIKRI KONVEKSI","https://www.bi.go.id/bisaid/bisaid/Detail?pm=x/5Wx1HbDM11ixiya27fcA==&mp=Bjv3m4lcInn46OWc4jy6kQ==","FIKRI KONVEKSI","Usaha Utama  : Konveksi","Produk Utama : -","Lingkungan Terondol RT/RW  1/1/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SERANG Provinsi BANTEN 

                                        Telp : - Fax : -","Perorangan","3","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Sedang","Rp. 74,50 Juta","Rp. 400,00 Juta","40 %/Tahun","Rp. 6,00 Juta","Rp. 108,00 Juta","6"
"1622311446-3417","https://www.bi.go.id/bisaid","TERUS MAJU","https://www.bi.go.id/bisaid/bisaid/Detail?pm=VfkBaSxCKbYz1t1SfbZh2Q==&mp=JHuIBacQ7Iz+a8xx8lclUA==","TERUS MAJU","Usaha Utama  : DAGANG","Produk Utama : PISANG, SAYUR, KELAPA","PASAR WINENET RT/RW  1/1/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BITUNG Provinsi SULAWESI UTARA 

                                        Telp : 81340215535 Fax : -","Perorangan","2","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 50,42 Juta","Rp. 43,20 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 50,00 Juta","1"
"1622313001-3866","https://www.bi.go.id/bisaid","Toko H.M. Misran","https://www.bi.go.id/bisaid/bisaid/Detail?pm=vNKRpsTS0zj4+aylKMKQJQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Toko H.M. Misran","Usaha Utama  : Dagang Karpet","Produk Utama : Karpet","Pasar Sudimampir Baru Lantai Dasar Blok A No.1 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BANJARMASIN Provinsi KALIMANTAN SELATAN 

                                        Telp : - Fax : -","Perorangan","4","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 160,50 Juta","Rp. 725,00 Juta","60 %/Tahun","Rp. 10,00 Juta","Rp. 0,00 Juta","3"
"1622312317-3657","https://www.bi.go.id/bisaid","Bengkel Robinson","https://www.bi.go.id/bisaid/bisaid/Detail?pm=mhcfpRWIVL4CMVhsP9yszw==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Bengkel Robinson","Usaha Utama  : Jasa","Produk Utama : Jasa Servis Sepeda Motor","Haruhun RT/RW  3/2/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA AMBON Provinsi MALUKU 

                                        Telp : - Fax : -","Perorangan","2","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Rendah","Rp. 37,00 Juta","Rp. 64,00 Juta","5 %/Tahun","Rp. 6,00 Juta","Rp. 0,00 Juta","2"
"1622312923-3842","https://www.bi.go.id/bisaid","Alfa Cell","https://www.bi.go.id/bisaid/bisaid/Detail?pm=jb4khrOpGT5OpvmBrhm4UQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Alfa Cell","Usaha Utama  : Dagang HP dan Asesoris HP","Produk Utama : HP dan Asesories HP","Abd. Mutalib Dg. Narang 102 RT/RW  40549 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN GOWA Provinsi SULAWESI SELATAN 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 27,90 Juta","Rp. 122,00 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 45,00 Juta","5"
