web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622319041-5296","https://www.bi.go.id/bisaid","Peternak Babi Sedih Hati","https://www.bi.go.id/bisaid/bisaid/Detail?pm=5BmuT9w8bdadXWnwJwCozw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Peternak Babi Sedih Hati","Usaha Utama  : Peternak Babi","Produk Utama : Babi","Hili Geho RT/RW  0/0 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN NIAS SELATAN Provinsi SUMATERA UTARA 

                                        Telp : 0 Fax : -","Perorangan","1","Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 25,00 Juta","Rp. 26,00 Juta","20 %/Tahun","Rp. 5,00 Juta","Rp. 20,00 Juta","3"
"1622318917-5260","https://www.bi.go.id/bisaid","ZULKIFLI","https://www.bi.go.id/bisaid/bisaid/Detail?pm=VlDVBNeQyXNIBzn9HM61/A==&mp=Bjv3m4lcInn46OWc4jy6kQ==","ZULKIFLI","Usaha Utama  : KERAMBA","Produk Utama : IKAN NILA, IKAN MAS","T. DI TRANG RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN NAGAN RAYA Provinsi ACEH 

                                        Telp : - Fax : -","Perorangan","1","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Sedang","Rp. 16,00 Juta","Rp. 120,00 Juta","70 %/Tahun","Rp. 5,00 Juta","Rp. 0,00 Juta","4"
"1622319237-5352","https://www.bi.go.id/bisaid","USAHA PENGASINAN IKAN","https://www.bi.go.id/bisaid/bisaid/Detail?pm=A0WZDDrrvkpJL5nGYiXYFw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","USAHA PENGASINAN IKAN","Usaha Utama  : PENGASINAN IKAN","Produk Utama : IKAN ASIN","B.ACEH MEDAN RT/RW  0/0 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN ACEH TIMUR Provinsi ACEH 

                                        Telp : 85361172080 Fax : -","Usaha Dagang (UD)","8","Distributor","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tinggi","Rp. 5,00 Juta","Rp. 90,00 Juta","5 %/Tahun","Rp. 10,00 Juta","Rp. 50,00 Juta","7"
"1622319297-5370","https://www.bi.go.id/bisaid","Jayusman","https://www.bi.go.id/bisaid/bisaid/Detail?pm=7QOpF9Gp7XoQSQasVhs3Yw==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Jayusman","Usaha Utama  : Pakan Ternak","Produk Utama : Pakan Ternak","Pasar Lamnyong RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KOTA BANDA ACEH Provinsi ACEH 

                                        Telp : 85270964691 Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Rendah","Rp. 9,00 Juta","Rp. 84,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 9,00 Juta","3"
"1622318941-5267","https://www.bi.go.id/bisaid","PONIRAN","https://www.bi.go.id/bisaid/bisaid/Detail?pm=pu899qcxJK35okVgNd4/qQ==&mp=Bjv3m4lcInn46OWc4jy6kQ==","PONIRAN","Usaha Utama  : PERIKANAN","Produk Utama : NILA, LELE","UJONG PADANG RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN NAGAN RAYA Provinsi ACEH 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   0,00 %","Rendah","Rp. 68,00 Juta","Rp. 0,00 Juta","5 %/Tahun","Rp. 5,00 Juta","Rp. 60,00 Juta","3"
"1622319216-5346","https://www.bi.go.id/bisaid","Depot Kembang Harapan","https://www.bi.go.id/bisaid/bisaid/Detail?pm=h1zSqlxvyJjL1GrJTeNhVQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==","Depot Kembang Harapan","Usaha Utama  : Usaha Penjualan Tanaman","Produk Utama : Tanaman Bougenville","Demang Lebar Daun RT/RW  3/5/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA PALEMBANG Provinsi SUMATERA SELATAN 

                                        Telp : 0 Fax : -","Perorangan","2","Retail","Tidak Ada   100,00 %","Tidak Ada   0,00 %","Tinggi","Rp. 137,50 Juta","Rp. 47,50 Juta","10 %/Tahun","Rp. 4,50 Juta","Rp. 6,00 Juta","4"
"1622319129-5323","https://www.bi.go.id/bisaid","Petani Padi Yustina","https://www.bi.go.id/bisaid/bisaid/Detail?pm=v62+nW6JIZphDX+AExkasA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Petani Padi Yustina","Usaha Utama  : Petani Padi","Produk Utama : Padi","Laza Gibe'e Hili Geho RT/RW  0/0 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN NIAS SELATAN Provinsi SUMATERA UTARA 

                                        Telp : 0 Fax : -","Perorangan","10","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 367,00 Juta","Rp. 85,00 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 350,00 Juta","5"
"1622319229-5350","https://www.bi.go.id/bisaid","BERKAT","https://www.bi.go.id/bisaid/bisaid/Detail?pm=umK25rpEjrpZErUrCQUkXQ==&mp=JHuIBacQ7Iz+a8xx8lclUA==","BERKAT","Usaha Utama  : DAGANG IKAN","Produk Utama : BOBARA","PANTAI RT/RW  3/ 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BOLAANG MONGONDOW Provinsi SULAWESI UTARA 

                                        Telp : - Fax : -","Perorangan","3","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 75,50 Juta","Rp. 36,00 Juta","10 %/Tahun","Rp. 5,00 Juta","Rp. 75,00 Juta","5"
"1622318170-5150","https://www.bi.go.id/bisaid","Pertanian Soukin","https://www.bi.go.id/bisaid/bisaid/Detail?pm=j3hlRk3PiYc7tQs0ik9AXg==&mp=tFF9KAXBbci/UefzhiAg3g==","Pertanian Soukin","Usaha Utama  : Pertanian","Produk Utama : Padi","Tuturuga RT/RW  1/5/2020 

                                        Kelurahan MARIYAI Kecamatan MARIAT Kabupaten KABUPATEN SORONG Provinsi PAPUA BARAT 

                                        Telp : - Fax : -","Perorangan","2","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 1.026,00 Juta","Rp. 520,00 Juta","- %/Tahun","Rp. 3,00 Juta","Rp. 520,00 Juta","6"
"1622318302-5177","https://www.bi.go.id/bisaid","Kolam Pancing Amir Khan","https://www.bi.go.id/bisaid/bisaid/Detail?pm=zWbDfN00lCBQI3YfvJIGWg==&mp=xI6rAeQkygTAn3Z625IGLg==","Kolam Pancing Amir Khan","Usaha Utama  : Kolam Pancing","Produk Utama : Kolam Pancing","Sawah Ladang Tigo Kampung RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN AGAM Provinsi SUMATERA BARAT 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 345,00 Juta","Rp. 48,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 15,00 Juta","6"
